"name","hour","highest","ts"
"BYND","09","137.97000122070312","2020-05-14 09:39:00-04:00"
"BYND","10","139.55999755859375","2020-05-14 10:31:00-04:00"
"BYND","11","141.0","2020-05-14 11:15:00-04:00"
"BYND","12","138.24000549316406","2020-05-14 12:57:00-04:00"
"BYND","13","137.78990173339844","2020-05-14 13:00:00-04:00"
"BYND","14","135.7301025390625","2020-05-14 14:12:00-04:00"
"BYND","15","135.85000610351562","2020-05-14 15:54:00-04:00"
"DDOG","09","67.25","2020-05-14 09:32:00-04:00"
"DDOG","10","66.55000305175781","2020-05-14 10:09:00-04:00"
"DDOG","11","65.0","2020-05-14 11:20:00-04:00"
"DDOG","11","65.0","2020-05-14 11:16:00-04:00"
"DDOG","11","65.0","2020-05-14 11:06:00-04:00"
"DDOG","11","65.0","2020-05-14 11:05:00-04:00"
"DDOG","12","64.87999725341797","2020-05-14 12:54:00-04:00"
"DDOG","13","65.0","2020-05-14 13:02:00-04:00"
"DDOG","14","64.12999725341797","2020-05-14 14:48:00-04:00"
"DDOG","15","65.86990356445312","2020-05-14 15:54:00-04:00"
"FB","09","203.8677978515625","2020-05-14 09:37:00-04:00"
"FB","10","203.35000610351562","2020-05-14 10:53:00-04:00"
"FB","11","204.27000427246094","2020-05-14 11:37:00-04:00"
"FB","12","205.10000610351562","2020-05-14 12:56:00-04:00"
"FB","13","205.63999938964844","2020-05-14 13:32:00-04:00"
"FB","14","204.98500061035156","2020-05-14 14:29:00-04:00"
"FB","15","206.92999267578125","2020-05-14 15:59:00-04:00"
"NFLX","09","452.0","2020-05-14 09:36:00-04:00"
"NFLX","10","446.510009765625","2020-05-14 10:08:00-04:00"
"NFLX","11","440.6400146484375","2020-05-14 11:16:00-04:00"
"NFLX","12","440.3399963378906","2020-05-14 12:59:00-04:00"
"NFLX","13","441.7799987792969","2020-05-14 13:49:00-04:00"
"NFLX","14","441.44000244140625","2020-05-14 14:30:00-04:00"
"NFLX","15","442.1400146484375","2020-05-14 15:59:00-04:00"
"OKTA","09","178.0","2020-05-14 09:39:00-04:00"
"OKTA","09","178.0","2020-05-14 09:38:00-04:00"
"OKTA","10","177.80679321289062","2020-05-14 10:10:00-04:00"
"OKTA","11","179.88999938964844","2020-05-14 11:37:00-04:00"
"OKTA","12","179.0050048828125","2020-05-14 12:57:00-04:00"
"OKTA","13","178.5","2020-05-14 13:02:00-04:00"
"OKTA","13","178.5","2020-05-14 13:03:00-04:00"
"OKTA","14","177.80999755859375","2020-05-14 14:32:00-04:00"
"OKTA","15","177.85000610351562","2020-05-14 15:05:00-04:00"
"PINS","09","16.540000915527344","2020-05-14 09:32:00-04:00"
"PINS","09","16.540000915527344","2020-05-14 09:31:00-04:00"
"PINS","10","16.674999237060547","2020-05-14 10:54:00-04:00"
"PINS","10","16.674999237060547","2020-05-14 10:53:00-04:00"
"PINS","11","16.94499969482422","2020-05-14 11:18:00-04:00"
"PINS","12","17.040000915527344","2020-05-14 12:57:00-04:00"
"PINS","13","17.030000686645508","2020-05-14 13:26:00-04:00"
"PINS","14","16.905000686645508","2020-05-14 14:22:00-04:00"
"PINS","14","16.905000686645508","2020-05-14 14:21:00-04:00"
"PINS","15","17.09000015258789","2020-05-14 15:50:00-04:00"
"PINS","15","17.09000015258789","2020-05-14 15:51:00-04:00"
"SHOP","09","758.0900268554688","2020-05-14 09:31:00-04:00"
"SHOP","10","752.0","2020-05-14 10:12:00-04:00"
"SHOP","10","752.0","2020-05-14 10:10:00-04:00"
"SHOP","11","757.469970703125","2020-05-14 11:16:00-04:00"
"SHOP","12","754.1599731445312","2020-05-14 12:57:00-04:00"
"SHOP","13","755.8200073242188","2020-05-14 13:01:00-04:00"
"SHOP","14","751.7999877929688","2020-05-14 14:57:00-04:00"
"SHOP","15","755.5700073242188","2020-05-14 15:50:00-04:00"
"SNAP","09","16.729999542236328","2020-05-14 09:31:00-04:00"
"SNAP","10","16.93000030517578","2020-05-14 10:54:00-04:00"
"SNAP","11","17.149999618530273","2020-05-14 11:07:00-04:00"
"SNAP","12","16.989999771118164","2020-05-14 12:57:00-04:00"
"SNAP","13","17.0","2020-05-14 13:31:00-04:00"
"SNAP","14","16.920000076293945","2020-05-14 14:57:00-04:00"
"SNAP","14","16.920000076293945","2020-05-14 14:58:00-04:00"
"SNAP","15","16.969999313354492","2020-05-14 15:08:00-04:00"
"SNAP","15","16.969999313354492","2020-05-14 15:09:00-04:00"
"SQ","09","72.80999755859375","2020-05-14 09:46:00-04:00"
"SQ","10","75.58999633789062","2020-05-14 10:59:00-04:00"
"SQ","11","76.48999786376953","2020-05-14 11:09:00-04:00"
"SQ","12","76.75","2020-05-14 12:59:00-04:00"
"SQ","13","77.18000030517578","2020-05-14 13:48:00-04:00"
"SQ","14","77.26000213623047","2020-05-14 14:59:00-04:00"
"SQ","15","78.25","2020-05-14 15:57:00-04:00"
"TTD","09","289.44989013671875","2020-05-14 09:31:00-04:00"
"TTD","10","290.07000732421875","2020-05-14 10:53:00-04:00"
"TTD","11","296.8562927246094","2020-05-14 11:18:00-04:00"
"TTD","12","294.5","2020-05-14 12:57:00-04:00"
"TTD","13","296.0","2020-05-14 13:31:00-04:00"
"TTD","14","295.7699890136719","2020-05-14 14:59:00-04:00"
"TTD","15","297.6700134277344","2020-05-14 15:24:00-04:00"
